#At time x allocated y bytes for process z from i to j
At time 7 allocated 300 bytes for process 1 from 0 to 511
At time 13 allocated 200 bytes for process 2 from 512 to 767
At time 22 allocated 200 bytes for process 3 from 768 to 1023
At time 32 freed 300 bytes from process 1 from 0 to 511
At time 32 allocated 100 bytes for process 5 from 0 to 511
At time 47 freed 200 bytes from process 3 from 768 to 1023
At time 47 allocated 20 bytes for process 6 from 768 to 1023
At time 73 freed 100 bytes from process 5 from 0 to 511
At time 73 allocated 500 bytes for process 4 from 0 to 127
At time 85 freed 20 bytes from process 6 from 768 to 1023
At time 85 freed 500 bytes from process 4 from 0 to 127
At time 108 freed 200 bytes from process 2 from 512 to 767
