#At time x process y state arr w total z remain y wait k
At time 7 process 1 started arr 7 total 26 remain 26 wait 0
At time 31 process 1 finished arr 7 total 26 remain 2 wait 0
At time 32 process 3 started arr 22 total 16 remain 16 wait 10
At time 47 process 3 finished arr 22 total 16 remain 1 wait 10
At time 48 process 5 started arr 26 total 26 remain 26 wait 22
At time 72 process 5 finished arr 26 total 26 remain 2 wait 22
At time 73 process 6 started arr 33 total 13 remain 13 wait 40
At time 84 process 6 finished arr 33 total 13 remain 2 wait 40
At time 85 process 4 started arr 26 total 0 remain 0 wait 59
At time 85 process 4 finished arr 26 total 0 remain 0 wait 59
At time 86 process 2 started arr 13 total 23 remain 23 wait 73
At time 108 process 2 finished arr 13 total 23 remain 1 wait 73
